id,sueldo,hijos,faltas_annio,antiguedad,casado_Sí,coche_Sí,casa_Propia,sindicato_Sí,sexo_M
1001,-0.7907392748819021,-0.9665944531957457,-0.25530541948303803,-1.1484981671858534,1.0,0.0,0.0,0.0,1.0
1002,-0.9304079364523353,-0.9665944531957457,0.08240016184373194,-0.6403540179201311,0.0,0.0,1.0,1.0,0.0
1003,-0.7575306389293494,1.0222830225156652,-0.593011000809808,-0.3631844819570099,0.0,1.0,0.0,1.0,1.0
1004,-0.5649919636724164,-0.9665944531957457,-0.593011000809808,-0.617256556589871,1.0,0.0,1.0,0.0,0.0
1005,-0.9514997791310512,-0.9665944531957457,-0.593011000809808,-1.1946930898463737,0.0,1.0,1.0,1.0,1.0
1006,-0.9514961131522077,-0.9665944531957457,-0.593011000809808,-0.9637184765437726,0.0,1.0,1.0,0.0,1.0
1007,-0.5526339489906715,-0.9665944531957457,0.08240016184373194,-0.5479641725990908,0.0,0.0,1.0,0.0,0.0
1008,-0.731192047329686,-0.9665944531957457,0.4201057431705019,-1.0099133992042928,0.0,0.0,1.0,1.0,1.0
1009,-1.00326046761948,0.027844284659959775,-0.593011000809808,-0.7558413245714317,1.0,1.0,0.0,0.0,0.0
1010,-0.7806549002789521,-0.9665944531957457,0.08240016184373194,-0.6634514792503913,0.0,0.0,1.0,1.0,1.0
1011,-1.0019282509077194,1.0222830225156652,-0.25530541948303803,-1.056108321864813,1.0,0.0,0.0,1.0,1.0
1012,-1.0024370887712097,-0.9665944531957457,-0.25530541948303803,-0.8713286312227322,0.0,1.0,1.0,0.0,1.0
1013,-0.8467737615061893,0.027844284659959775,-0.9307165821365779,-1.1946930898463737,0.0,0.0,0.0,1.0,1.0
1014,-1.3208383492736124,1.0222830225156652,-0.25530541948303803,-1.0792057831950732,0.0,1.0,0.0,0.0,0.0
1015,-1.2794061895791164,0.027844284659959775,-0.593011000809808,-0.9175235538832524,0.0,1.0,1.0,1.0,1.0
1016,-1.0236755706036695,0.027844284659959775,-0.593011000809808,-1.1254007058555935,1.0,1.0,0.0,1.0,0.0
1017,-1.1227765102909255,-0.9665944531957457,-0.593011000809808,-0.4786717886083104,0.0,0.0,1.0,0.0,0.0
1018,-0.8308744112615354,-0.9665944531957457,-0.9307165821365779,-1.1715956285161138,0.0,0.0,1.0,0.0,1.0
1019,-1.0997233689308883,0.027844284659959775,0.08240016184373194,-0.9406210152135126,0.0,1.0,0.0,1.0,0.0
1020,-1.2106441576056501,2.0167217603713707,0.4201057431705019,-0.825133708562212,1.0,1.0,0.0,0.0,0.0
1021,-0.5776131956351312,0.027844284659959775,0.4201057431705019,-0.5248667112688307,1.0,0.0,1.0,1.0,0.0
