ingresos_mensuales,gastos_mensuales
53.65922328804489,54.28400296455255
94.2882981160101,19.200307350182864
50.244875569403796,49.311581351198605
91.62083176244221,19.349284728161578
85.80139078909612,17.00303677277989
92.7354869058502,18.98903673783053
89.93876613576543,15.513728142570843
53.75126649785635,47.041994392047
19.939262488679297,75.24030081969845
55.38568011457278,43.53353133242416
67.7982002479376,38.28747320286499
20.303876921095657,73.58863316203944
56.50295710207526,52.07868925698185
53.10838453215793,54.5538153229596
52.150328133034265,46.08002460455773
95.29212243424794,11.206302567884428
15.021492616972873,74.61707019163698
98.17389669949297,83.88325037676354
89.89549203017926,20.58663691654391
13.022014560202402,80.30853338662712
26.312574399212448,73.69167021743473
96.8568146414136,82.73467668632642
93.51568785588645,79.6167995631973
21.626280224787862,86.92116454909686
103.37718242498312,87.96400524026562
94.41133302024993,79.30616722669345
57.66291656887737,54.64780432057602
94.95615047275861,93.13969276389514
91.55453782799002,27.37678108474776
35.55239595958557,43.85367415199426
79.66278949980062,19.55439980243606
18.23551331090529,73.41418273340547
90.18409960638384,77.39460147969615
81.40595524929991,80.61707609491238
47.454011884736246,90.56428757689245
17.91462038234392,77.90421610893384
87.74967264260378,23.114249661737492
89.42730077373692,26.189081559867308
21.33254124679059,81.1747487248095
97.63438904160516,86.83514157907821
17.292320244967716,88.33525183029022
23.70145210446435,74.5062035751304
64.79446782358981,41.4191517322362
55.68110407150749,53.972784047126275
84.08370743667112,9.803839111199498
49.110948093712295,52.772620845579624
61.97898251292976,50.06139836611752
20.939886177521398,71.181484442541
91.82775768187417,89.15465174204166
49.4384171705315,49.6428478636292
23.323099609979348,80.77115726535487
63.64763973439669,41.384827092923366
57.142092915790286,45.842542428436076
90.26772649093826,82.88494450673596
55.07801135126744,58.7212044629439
82.32942914632189,26.388384109492545
94.63656110743976,78.3394109013065
15.862590945947884,86.97470482257893
100.76591228755778,16.163262185559752
98.37791685023883,89.16629240526018
83.47765249747573,23.348362744150194
83.3988339648968,29.15729382927177
53.194501864211574,31.210622617823773
55.27343103942288,46.0903979143651
100.09397651142403,95.50179152258572
106.56320330745594,77.7557613304815
91.61359280169044,15.863845282238385
55.606998421703594,75.66583652537122
56.660144795980116,54.963099494216145
56.03908555510709,52.31190427837302
21.169472574117904,83.5182029229979
97.75504453193409,79.62344615360797
21.546282303058078,72.0663193008677
56.284562464781224,42.52556732772807
58.09021160325196,53.082715705473255
92.59673257120586,27.66369456501289
21.15897675825244,79.66499337905225
94.87559866708875,19.264713092489306
99.56684699099335,80.29153895750123
58.090286117836285,73.11638894392833
91.42146586982994,82.32081038929417
61.95157347404442,45.075906089889735
97.0413023035422,81.67808147306299
91.92032724469654,19.836526259529535
93.55807439044445,14.376789540810655
54.089289429786504,53.52990323890746
18.457784675629537,76.38975228850272
18.94630981374499,78.94638369372869
48.57464501163333,52.894834491459115
26.595419460146992,78.98400664781059
95.10130108554253,94.22040521751406
20.448431142894385,77.7343595564771
94.29645324685579,79.74452757669766
91.12046240905208,20.062962003908975
16.953850998623185,82.75254329978391
21.088830222047154,71.39023889903991
20.023010554891073,78.94435789981183
59.93236095996694,61.380757895923686
64.51610089687212,42.57310700703891
12.237869753691353,77.46970611841563
70.75448519014384,20.34717113185624
91.83299123048424,15.300601068363223
85.17538269709948,23.430257299992196
85.81827095383245,87.98848105808965
21.49068544131604,84.38995307205062
50.919851670529056,51.393522182966024
100.53461045067942,81.82709471762269
19.843797036326404,74.7409488307121
61.49830745905166,56.322812312209415
62.601466895119735,45.753983206287316
23.660827478163515,74.4611105760472
17.843715929696195,79.16453460501282
49.15190997863607,54.722507622454714
79.38052137845096,17.371224891596196
17.616079083048326,82.3097034490101
56.19435817344082,46.39869873704723
23.55964376169371,75.90775645342367
91.22483285554361,17.46528412314435
24.63949785123178,84.19076053602289
94.12708174494016,24.067548180003193
84.66189785308703,19.288102574893532
19.13437565848495,81.35696304050126
83.1993941811405,58.8792635777333
92.08358309895158,80.63919942255711
91.4438491366661,79.05148598012083
90.48838049274416,16.13495108072267
57.83942574744127,49.56302652405876
66.19464706686854,52.84299752547072
91.41490140708812,85.26069269224028
15.542586536911902,77.45166021678753
22.640856922101218,89.8570503161449
98.14307772785646,13.099492708925544
15.442259958495093,81.41411299667874
20.27103594473462,91.08458950618379
19.675954452888497,84.5158980405141
70.11150117432088,68.72653200164409
14.43372180104863,74.05794524112076
13.630831660773136,78.10709604755588
65.59272544168658,52.429890265765735
95.89720060360644,17.654121739476476
16.840761077551914,78.52552034031004
86.04851659164261,85.2644672066376
93.24426408004217,24.110519961044854
111.93384444650381,91.15766201289017
17.887365263292715,82.44152019613684
84.96991309250149,13.92905693606134
93.48721566566596,72.33943359395428
15.808361216819947,82.95585311974416
21.627362112714355,77.09696110427694
100.94901466608836,15.958508573224243
93.68578574223474,80.00839985877121
17.927125530680957,84.75705001798512
49.91923769158957,40.91091665188481
40.42422429595377,52.228078846901404
16.475360184486934,78.55072317707446
15.91389166015455,73.64463334399119
100.30373962440993,28.77670421221602
52.320910287597876,55.138392765940836
25.60186404424365,19.039506830258237
90.60147815855949,22.572194170293745
56.685951206410195,46.26380288107644
15.219633288232528,82.13116593785831
93.22687974792574,26.84315778766174
50.61780020969718,51.298751537491846
89.90743432003805,18.556706805399312
96.59376171293027,96.41470439254991
87.30787834399473,88.09633080179815
89.29514615120449,83.95313727054015
86.20433669223151,20.75196893238104
88.75517925760464,24.857854754771775
52.08781871302538,50.49124483631793
14.820528901599637,81.69064108255553
95.4255256920619,80.26293689269455
90.80207463901615,75.07314844634514
96.29588006959712,89.23975856637831
53.41205900057226,66.32101499953771
58.75400408659004,44.8570546615023
50.70817774444019,54.07758649360805
82.75957829251338,12.962681128117223
88.9115939838639,25.493884259935953
104.27927899289911,89.84901866322198
101.42280133912894,86.39931463815667
97.91392297853406,92.92862741361846
99.56173069650919,72.83875580045664
25.142702665317593,83.38369864709048
81.48308780322422,19.722261505516904
92.0822436881421,81.83299967645426
53.52767130398278,45.47758301385506
57.1467241620897,53.364707158209406
42.849144480054356,51.11872588861657
21.023569705718582,85.88214239427093
20.391711807071772,78.6544669229036
